Application Number	29/522,339
Filing or 371 (c) Date	03-30-2015
Application Type	-
Examiner Name	PRATT, MICHAEL AARON
Group Art Unit	2914
Confirmation Number	2628
Attorney Docket Number	HOL05 P-100
Class / Subclass	D12/194
First Named Inventor	Raymond A. Holman , Grand Rapids, MI (US)
First Named Applicant	-
Entity Status	Micro
AIA (First Inventor to File)	Yes
Customer Number	15671
Status	Patented Case
Status Date	12-21-2016
Location	ELECTRONIC
Location Date	-
Earliest Publication No	-
Earliest Publication Date	-
Patent Number	D776,031
Issue Date of Patent	01-10-2017
International Registration Number (Hague)	-
International Registration Publication Date	-
Title of Invention	EXHAUST PIPE TIP
