Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
01-10-2017	PATENT.GRANT	Copy of a Patent Grant	PROSECUTION	1	29522339-2017-01-10-00001-PATENT.GRANT.pdf
12-21-2016	ISSUE.NTF	Issue Notification	PROSECUTION	1	29522339-2016-12-21-00001-ISSUE.NTF.pdf
11-28-2016	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	29522339-2016-11-28-00004-IFEE.pdf
11-28-2016	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	29522339-2016-11-28-00003-WFEE.pdf
11-28-2016	N417	EFS Acknowledgment Receipt	PROSECUTION	2	29522339-2016-11-28-00002-N417.pdf
11-28-2016	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	29522339-2016-11-28-00001-IFEE.pdf
08-29-2016	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	5	29522339-2016-08-29-00002-NOA.pdf
08-29-2016	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	3	29522339-2016-08-29-00001-IIFW.pdf
08-04-2016	ELC.	Response to Election / Restriction Filed	PROSECUTION	2	29522339-2016-08-04-00006-ELC..pdf
08-04-2016	SPEC	Specification	PROSECUTION	1	29522339-2016-08-04-00005-SPEC.pdf
08-04-2016	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	2	29522339-2016-08-04-00004-REM.pdf
08-04-2016	DRW	Drawings-only black and white line drawings	PROSECUTION	2	29522339-2016-08-04-00003-DRW.pdf
08-04-2016	N417	EFS Acknowledgment Receipt	PROSECUTION	2	29522339-2016-08-04-00002-N417.pdf
08-04-2016	SCORE	Placeholder sheet indicating presence of supplemental content in SCORE	PROSECUTION	1	29522339-2016-08-04-00001-SCORE.pdf
08-01-2016	CTRS	Requirement for Restriction/Election	PROSECUTION	5	29522339-2016-08-01-00006-CTRS.pdf
08-01-2016	892	List of references cited by examiner	PRIOR ART	1	29522339-2016-08-01-00005-892.pdf
08-01-2016	SRNT	Examiner's search strategy and results	PROSECUTION	1	29522339-2016-08-01-00004-SRNT.pdf
08-01-2016	BIB	Bibliographic Data Sheet	PROSECUTION	1	29522339-2016-08-01-00003-BIB.pdf
08-01-2016	1449	List of References cited by applicant and considered by examiner	PRIOR ART	4	29522339-2016-08-01-00002-1449.pdf
08-01-2016	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	29522339-2016-08-01-00001-SRFW.pdf
04-06-2015	APP.FILE.REC	Filing Receipt	PROSECUTION	3	29522339-2015-04-06-00001-APP.FILE.REC.pdf
03-31-2015	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	4	29522339-2015-03-31-00002-IDS.pdf
03-31-2015	N417	EFS Acknowledgment Receipt	PROSECUTION	2	29522339-2015-03-31-00001-N417.pdf
03-30-2015	MES.GIB	Certification of Micro Entity (Gross Income Basis)	PROSECUTION	1	29522339-2015-03-30-00011-MES.GIB.pdf
03-30-2015	PA..	Power of Attorney	PROSECUTION	2	29522339-2015-03-30-00010-PA...pdf
03-30-2015	SPEC	Specification	PROSECUTION	1	29522339-2015-03-30-00009-SPEC.pdf
03-30-2015	CLM	Claims	PROSECUTION	1	29522339-2015-03-30-00008-CLM.pdf
03-30-2015	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	29522339-2015-03-30-00007-WFEE.pdf
03-30-2015	N417	EFS Acknowledgment Receipt	PROSECUTION	3	29522339-2015-03-30-00006-N417.pdf
03-30-2015	136A	Authorization for Extension of Time all replies	PROSECUTION	3	29522339-2015-03-30-00005-136A.pdf
03-30-2015	ADS	Application Data Sheet	PROSECUTION	7	29522339-2015-03-30-00004-ADS.pdf
03-30-2015	DRW	Drawings-only black and white line drawings	PROSECUTION	6	29522339-2015-03-30-00003-DRW.pdf
03-30-2015	OATH	Oath or Declaration filed	PROSECUTION	1	29522339-2015-03-30-00002-OATH.pdf
03-30-2015	SCORE	Placeholder sheet indicating presence of supplemental content in SCORE	PROSECUTION	1	29522339-2015-03-30-00001-SCORE.pdf
